Date,SPY,IWM,XLE,XLU,XLK,XLB,XLP,XLY,XLI,XLV,XLF,SHY,TLT
2005-01-03,83.3643569946289,49.267086029052734,20.411439895629883,14.045404434204102,16.24312973022461,19.231435775756836,14.010849952697754,27.424102783203125,21.149940490722656,21.538509368896484,16.646879196166992,58.56676483154297,48.35741424560547
2005-01-04,82.34568786621094,48.21095657348633,20.306400299072266,13.948465347290039,15.940461158752441,18.885108947753906,13.962292671203613,27.103397369384766,20.889001846313477,21.365283966064453,16.488182067871094,58.43734359741211,47.850616455078125
2005-01-05,81.77747344970703,47.24736785888672,20.218873977661133,13.729090690612793,15.886141777038574,18.623727798461914,13.889440536499023,27.001712799072266,20.74480438232422,21.329187393188477,16.46082305908203,58.45172119140625,48.10672378540039
2005-01-06,82.1932373046875,47.49791717529297,20.568986892700195,13.800509452819824,15.83957290649414,18.74787712097168,13.956219673156738,26.860916137695312,20.81346893310547,21.48798179626465,16.542905807495117,58.48046112060547,48.139434814453125
2005-01-07,82.07544708251953,46.9698371887207,20.405597686767578,13.800509452819824,15.870620727539062,18.780548095703125,14.022992134094238,26.853090286254883,20.71733856201172,21.47355079650879,16.455352783203125,58.487640380859375,48.24839782714844
2005-01-10,82.46349334716797,47.44780731201172,20.557315826416016,13.871943473815918,15.870620727539062,18.865507125854492,14.107983589172363,26.954782485961914,20.792865753173828,21.661218643188477,16.471765518188477,58.45172119140625,48.32469940185547
2005-01-11,81.89525604248047,46.8696403503418,20.58648681640625,13.83112621307373,15.715405464172363,18.669462203979492,14.04727554321289,26.782690048217773,20.69672966003418,21.50963592529297,16.40062713623047,58.46607971191406,48.60807418823242
2005-01-12,82.1655502319336,47.06235885620117,20.94826889038086,13.871943473815918,15.800779342651367,18.793617248535156,14.089775085449219,26.93914222717285,20.724193572998047,21.65399742126465,16.37873649597168,58.473289489746094,48.673439025878906
2005-01-13,81.5071792602539,46.91975021362305,21.08831214904785,13.938258171081543,15.645552635192871,18.721744537353516,13.998713493347168,26.74357795715332,20.52505874633789,21.329187393188477,16.220035552978516,58.54520034790039,49.14211654663086
2005-01-14,81.93685913085938,47.366844177246094,21.27503204345703,14.0556058883667,15.692122459411621,18.898174285888672,14.077632904052734,26.99388313293457,20.66240119934082,21.41580581665039,16.274757385253906,58.51642608642578,49.13663864135742
2005-01-18,82.7892074584961,47.929588317871094,21.485109329223633,14.178045272827148,15.862857818603516,18.970056533813477,14.223326683044434,27.220726013183594,20.74480438232422,21.589040756225586,16.531965255737305,58.49482345581055,49.30010223388672
2005-01-19,81.92300415039062,47.24352264404297,21.409255981445312,14.11683177947998,15.529144287109375,18.83936309814453,14.199041366577148,26.94695472717285,20.579999923706055,21.45189666748047,16.367795944213867,58.50202178955078,49.441795349121094
2005-01-20,81.42404174804688,46.96213912963867,21.19334602355957,14.070908546447754,15.42050552368164,18.734819412231445,14.18690299987793,26.46198844909668,20.39458656311035,21.343631744384766,16.247400283813477,58.55237579345703,49.5399169921875
2005-01-21,80.9250717163086,46.85422134399414,21.240026473999023,14.014785766601562,15.311849594116211,18.656387329101562,14.065489768981934,26.368127822875977,20.264122009277344,21.199268341064453,16.165311813354492,58.60991668701172,49.59442138671875
2005-01-24,80.76567840576172,46.49576950073242,21.4267520904541,14.137234687805176,15.187677383422852,18.3950138092041,14.010849952697754,26.109994888305664,20.20231056213379,21.018810272216797,16.17078399658203,58.57394790649414,49.806888580322266
2005-01-25,80.99442291259766,46.615230560302734,21.514286041259766,14.0556058883667,15.210954666137695,18.493026733398438,14.065489768981934,26.18039894104004,20.39458656311035,21.163171768188477,16.18173599243164,58.55237579345703,49.338279724121094
2005-01-26,81.23696899414062,47.23579788208008,21.72434425354004,14.259676933288574,15.366177558898926,18.52570343017578,14.05334758758545,26.321199417114258,20.435792922973633,21.293094635009766,16.25834846496582,58.5307731628418,49.43090057373047
2005-01-27,81.37554168701172,47.370723724365234,21.916906356811523,14.331108093261719,15.350646018981934,18.623727798461914,14.1322660446167,26.266441345214844,20.49072265625,21.249799728393555,16.1762638092041,58.51642608642578,49.338279724121094
2005-01-28,81.37554168701172,47.33216857910156,21.654321670532227,14.34640884399414,15.350646018981934,18.604114532470703,14.138336181640625,26.141265869140625,20.470121383666992,21.076560974121094,16.154367446899414,58.54520034790039,49.834144592285156
2005-01-31,81.88140869140625,47.88719940185547,21.91107177734375,14.509671211242676,15.45930004119873,18.832834243774414,14.174758911132812,26.42287826538086,20.737932205200195,21.112648010253906,16.34589958190918,58.53803634643555,49.97587585449219
2005-02-01,82.40115356445312,48.15701675415039,22.284526824951172,14.606605529785156,15.55242919921875,18.989656448364258,14.180828094482422,26.446346282958984,20.799728393554688,21.31475257873535,16.52101707458496,58.553096771240234,49.89654541015625
2005-02-02,82.65058898925781,48.52317428588867,22.593786239624023,14.662726402282715,15.560194969177246,19.185705184936523,14.296167373657227,26.52456283569336,20.799728393554688,21.401363372802734,16.52101707458496,58.531517028808594,50.011375427246094
2005-02-03,82.4358139038086,48.25722122192383,22.70465660095215,14.703536033630371,15.45930004119873,19.074609756469727,14.27188491821289,26.469818115234375,20.737932205200195,21.336406707763672,16.444406509399414,58.495513916015625,49.984046936035156
2005-02-04,83.31584930419922,48.8662223815918,22.786354064941406,14.846389770507812,15.723162651062012,19.290252685546875,14.35080337524414,26.712297439575195,20.90959930419922,21.531291961669922,16.641407012939453,58.553096771240234,50.67871856689453
